"photo_id","file_name","file_path","source_file","latitude","longitude","elevation","bearing","horizontal_accuracy","taken_local","taken_offset","taken_gps_utc","orientation","source_width","source_height"
"IMG_3863_60eec27f","IMG_3863_60eec27f.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3863_60eec27f.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3863.jpeg","38.8951944444444","-78.1651527777778","341.0375195","20.10726549","4.748651529","2026-07-25T09:45:45","-04:00","2026-07-25T13:45:43","1","3024","4032"
"IMG_4060_0185ee21","IMG_4060_0185ee21.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_4060_0185ee21.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_4060.jpeg","38.8906861111111","-78.1631","337.105462","320.6872557","4.748651537","2026-08-05T07:19:10","-04:00","2026-08-05T11:19:10","1","3024","4032"
"IMG_3731_f2eb6fbf","IMG_3731_f2eb6fbf.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3731_f2eb6fbf.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3731.jpeg","38.891225","-78.1597583333333","303.5736724","354.9330747","4.748651542","2026-07-01T11:38:00","-04:00","2026-07-01T15:38:00","1","3024","4032"
"IMG_3766_f1e07ae0","IMG_3766_f1e07ae0.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3766_f1e07ae0.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3766.jpeg","38.8955194444444","-78.1567916666667","362.6075867","250.5663912","4.748651528","2026-07-08T07:01:49","-04:00","2026-07-08T11:01:48","1","3024","4032"
"IMG_3496_2b02ccbe","IMG_3496_2b02ccbe.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3496_2b02ccbe.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3496.jpeg","38.9916638888889","-76.9986888888889","61.50794427","131.2400665","12.45738921","2026-06-02T17:47:04","-04:00","2026-06-02T21:47:03","1","3024","4032"
"IMG_3711_d79c37aa","IMG_3711_d79c37aa.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3711_d79c37aa.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3711.jpeg","38.8920388888889","-78.1584694444444","327.5755702","131.5193939","4.748651531","2026-07-01T09:59:02","-04:00","2026-07-01T13:59:01","1","4032","3024"
"IMG_3814_f51ce08d","IMG_3814_f51ce08d.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3814_f51ce08d.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3814.jpeg","38.8912083333333","-78.1597527777778","323.8874062","21.4862175","4.748651545","2026-07-11T10:16:21","-04:00","2026-07-11T14:16:20","1","3024","4032"
"IMG_3815_00b782c4","IMG_3815_00b782c4.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3815_00b782c4.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3815.jpeg","38.8910222222222","-78.1595694444444","316.6667856","22.45791246","4.748651539","2026-07-11T10:25:53","-04:00","2026-07-11T14:25:53","1","3024","4032"
"IMG_4057_d93087ac","IMG_4057_d93087ac.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_4057_d93087ac.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_4057.jpeg","38.8946611111111","-78.1657638888889","327.4260635","324.7505037","4.748651528","2026-08-01T11:22:09","-04:00","2026-08-01T15:22:08","1","4032","3024"
"IMG_3507_6373de17","IMG_3507_6373de17.avif","/Users/brianevans/gits/nest_study/data/photos/bulk/IMG_3507_6373de17.avif","/var/folders/86/7sclq8nd6yqf0vkrmklt0lnh0000gn/T//nest_photo_export.AX8s0X/exported/IMG_3507.jpeg","38.8955333333333","-78.1638027777778","362.8561686","26.73510742","4.74865152","2026-06-03T13:17:57","-04:00","2026-06-03T17:17:55","1","2316","3088"
